label,total,correct,accuracy
0,8,3,0.375
1,12,9,0.75
2,8,1,0.125
3,11,0,0.0
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,11,0.6470588235294118
8,9,5,0.5555555555555556
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,2,0.2
13,10,6,0.6
14,10,5,0.5
15,8,0,0.0
16,17,15,0.8823529411764706
17,16,2,0.125
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,4,0.3333333333333333
22,18,7,0.3888888888888889
23,9,1,0.1111111111111111
24,8,3,0.375
25,8,6,0.75
26,8,2,0.25
27,13,6,0.46153846153846156
28,16,7,0.4375
29,17,8,0.47058823529411764
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,2,0.18181818181818182
38,8,0,0.0
39,13,7,0.5384615384615384
40,25,0,0.0
41,12,5,0.4166666666666667
42,26,3,0.11538461538461539
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,32,0.8205128205128205
46,13,5,0.38461538461538464
47,14,9,0.6428571428571429
48,10,6,0.6
49,18,11,0.6111111111111112
50,52,31,0.5961538461538461
51,17,15,0.8823529411764706
52,19,5,0.2631578947368421
53,12,7,0.5833333333333334
54,14,7,0.5
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,15,0.6818181818181818
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,6,0.5454545454545454
64,20,16,0.8
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,3,0.2727272727272727
69,12,6,0.5
70,16,16,1.0
71,19,1,0.05263157894736842
72,39,27,0.6923076923076923
73,34,10,0.29411764705882354
74,24,18,0.75
75,21,5,0.23809523809523808
76,50,47,0.94
77,27,9,0.3333333333333333
78,8,1,0.125
79,21,5,0.23809523809523808
80,33,27,0.8181818181818182
81,22,9,0.4090909090909091
82,26,4,0.15384615384615385
83,17,4,0.23529411764705882
84,13,2,0.15384615384615385
85,12,3,0.25
86,13,9,0.6923076923076923
87,31,18,0.5806451612903226
88,37,15,0.40540540540540543
89,16,3,0.1875
90,15,5,0.3333333333333333
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,16,0.5
94,26,8,0.3076923076923077
95,18,1,0.05555555555555555
96,13,1,0.07692307692307693
97,16,7,0.4375
98,13,0,0.0
99,10,4,0.4
100,12,5,0.4166666666666667
101,10,5,0.5
